Acapulco,13596.127,14884.727568571,-1288.60056857097
Aguascalientes,16422.408,17862.9331983776,-1440.5251983776
Apizaco,10095.77,9505.78281427769,589.987185722307
Arriaga,3680.65,6524.18819323843,-2843.53819323843
Atlacomulco,7176.8,7147.48206936198,29.3179306380181
Campeche,2564.853,3465.63332846193,-900.780328461934
Cancún,4075.95,4461.03352261359,-385.083522613588
Cd. Obregón (FFCC),6123.27,6936.11638705011,-812.846387050106
Cd. Victoria,2921.948,2268.4523073047,653.495692695302
Ceda,3508.75,4316.54947152953,-807.799471529528
Celaya,4303.75,5603.2415173515,-1299.4915173515
Chetumal,2887.65,2465.73345087294,421.916549127056
Chilpancingo,9809.46,10030.9376731313,-221.477673131314
Cidetec,3455.59,4182.36255142304,-726.772551423041
Coatzacoalcos,72023.71,91545.6964253252,-19521.9864253252
Colima,6914.72,7981.08800978154,-1066.36800978154
Comitán,14445.775,8165.23879085844,6280.53620914156
Cuautla,9029.5,8707.0328818197,322.467118180303
Cuernavaca,9184.27,9116.0776355622,68.1923644378001
Culiacán,20146.1,20986.0569664639,-839.956966463893
Durango,24098.207,30904.1853671609,-6805.97836716086
El Pataste (FFCC),935,670.098833630114,264.901166369886
El Prieto Ver.,7386.776,25109.732918288,-17722.956918288
Guasave,5576.222,5162.01362521692,414.208374783082
Hermosillo,3714.923,3937.17831573488,-222.255315734884
Huajuapan de León,2232,2578.94931741646,-346.949317416455
Iguala,6314.85,6327.17564158538,-12.3256415853788
Irapuato,10272.95,12253.9576574431,-1981.00765744314
Ixtlán del Río,43417.835,34860.7808895791,8557.05411042088
Jalapa,4425.696,4036.29313716724,389.402862832762
La Barca,20449,22475.1602164431,-2026.16021644306
Lázaro Cárdenas,5413.571,4460.27753446356,953.293465536442
León,20224.654,23207.1481386941,-2982.4941386941
Los Cabos,8842.623,8103.88647586847,738.73652413153
Los Mochis,6452.324,4959.80841406301,1492.51558593699
Los Mochis (FFCC),3500,6918.51758464752,-3418.51758464752
Maravatío,13386.7,13248.6427021735,138.057297826472
Mazatlán,14321.49,13367.480247948,954.009752052027
Mérida,6723.02,5492.51857607487,1230.50142392513
Mexicali,44224.014,48533.3085271322,-4309.29452713217
Monclova,5083.681,4076.86882225014,1006.81217774986
Monterrey,12923.925,14662.5214666886,-1738.59646668862
Morelia,36931.88,37793.0861239561,-861.206123956103
Naucalpan,2242.4,3294.07716715746,-1051.67716715746
Navojoa,654.5,2140.47493421328,-1485.97493421328
Nochixtlán,548,395.725168795069,152.274831204931
Nogales (FFCC),892.16,2239.82143944858,-1347.66143944858
Nueva Italia,5466,5140.67312594891,325.326874051088
Oaxaca,16174.355,17663.2939890008,-1488.93898900077
Orizaba,2630.5,2063.62696788969,566.873032110306
Pachuca,6112.9,5838.20530134287,274.694698657132
Palenque,4575.759,4220.2877769235,355.471223076503
Pichilingue,33459.365,35325.8282563336,-1866.46325633361
Pinotepa Nacional,1924.819,2293.4870932675,-368.668093267502
Playa del Carmen,37360.399,38473.9554463551,-1113.55644635515
Poza Rica,6340.45,6331.4493018944,9.00069810559809
Promexma Texcoco,1656.8,1764.84281205997,-108.042812059973
Pta. Atotonilco,2269.63,0,2269.63
Pta. Barrientos,116.5,0,116.5
Pta. Ensenada,252.65,243.979386406121,8.67061359387879
Pta. Guadalajara,4234.15,6773.80026910551,-2539.65026910551
Pta. Hidalgo,0.75,0,0.75
Pta. Huichapan,3768.8,3408.79498638239,360.005013617607
Pta. Mérida,3424.255,3939.91595852975,-515.660958529747
Pta. Monterrey,9158.192,8864.14969483228,294.042305167716
Pta. Tamuín,302.472,308.239510618567,-5.76751061856712
Pta. Tepeaca,6769.315,3302.9512197577,3466.3637802423
Pta. Torreón,1472.161,2226.14022492713,-753.979224927134
Pta. Valles,778.24,541.404154204209,236.835845795791
Pta. Yaqui,422.85,215.951672112759,206.898327887241
Pta. Zapotiltic,532.8,644.782140797369,-111.982140797369
Puebla,10122.452,11101.7945305518,-979.34253055176
Puerto Chiapas,539.01,788.943121754193,-249.933121754193
Puerto Valladolid,1644.8,1427.04790019465,217.752099805347
Querétaro,12163.79,12850.7479653873,-686.957965387259
Reynosa,11082.74,11963.9396005113,-881.199600511322
Roberto Ayala,1248,1216.7312049668,31.2687950331988
Salamanca,6708.257,8937.26809176615,-2229.01109176615
Saltillo,4807.848,3862.39026003212,945.457739967877
San Cristóbal,9925,11120.0062481253,-1195.00624812529
San Luis Potosí,9949.4,11460.6763946091,-1511.27639460908
San Miguel de Allende,2222.95,3007.00591704931,-784.055917049305
Santa Catarina,7655.075,9316.04078791688,-1660.96578791688
Tapachula,3601.05,4585.38330916598,-984.333309165978
Tehuacán,3649.5,5196.09977282323,-1546.59977282323
Tehuantepec,9108.17,19333.6344814797,-10225.4644814797
Tepatitlán (Virtual),2760.75,2946.03946722371,-185.289467223714
Tepic,10025.711,9441.90063727515,583.810362724852
Tijuana I,8284.642,9205.42307312899,-920.781073128992
Tlapa de Comonfort,7776,7695.89475380311,80.1052461968849
Toluca,31083.49,34688.5140151642,-3605.02401516422
Tonalá,6540.4,5895.72345757739,644.676542422612
Topolobampo,3416.53,4037.20894505016,-620.678945050163
Torreón,1117.079,1096.70757013698,20.3714298630196
Tuxtepec,6854.7,5428.92998223899,1425.77001776101
Tuxtla Gutiérrez,6958.582,6204.17967437578,754.402325624223
Vallejo,41518.525,41701.199811098,-182.674811097956
Valles,3648.769,3823.95079501082,-175.181795010818
Veracruz,7728.467,8885.25683627784,-1156.78983627784
Villahermosa,6783.539,6823.76770273968,-40.2287027396845
